algorithm,seed,total_reward,avg_reward,final_equity,total_return_pct,win_rate,trades
Q-Learning,42,0.34575156047910016,0.00540236813248594,13517678.551746838,35.17678551746837,57.8125,33
SARSA,42,0.2588462462839798,0.004044472598187184,12437868.799687702,24.378687996877012,54.6875,31
DQN,42,0.29622192416316584,0.004628467565049466,12927892.815718897,29.27892815718898,65.625,32
Q-Learning,100,0.5814566774150881,0.009085260584610752,17038926.01145508,70.38926011455082,71.875,34
SARSA,100,0.37620210315712754,0.005878157861830118,13797727.019273393,37.97727019273394,67.1875,33
DQN,100,0.21735626476055459,0.0033961916368836654,11980946.819701133,19.809468197011327,59.375,32
Q-Learning,777,0.5907895245874483,0.00923108632167888,17000817.024180345,70.00817024180346,62.5,31
SARSA,777,0.4571940828489057,0.007143657544514152,15137847.61961542,51.37847619615421,65.625,33
DQN,777,0.15884747097747798,0.0024819917340230934,11265945.811392464,12.659458113924638,62.5,31
Q-Learning,2025,0.3924471193406709,0.006131986239697983,13719110.683946278,37.19110683946278,59.375,31
SARSA,2025,0.5760391909959268,0.009000612359311357,17008746.87675203,70.0874687675203,67.1875,34
DQN,2025,0.19835085775537764,0.0030992321524277756,11683689.369634047,16.83689369634047,54.6875,29
Q-Learning,9999,0.36845282846379057,0.005757075444746728,13903315.609612923,39.03315609612923,59.375,34
SARSA,9999,0.4052283118641432,0.006331692372877238,14215231.449200917,42.15231449200918,57.8125,33
DQN,9999,0.2982175992090268,0.004659649987641044,12980619.251356171,29.80619251356171,62.5,33
